2019-04-02T11:33:13.317+0800 I COMMAND  [conn4] command shop.js_modules command: create { create: "js_modules", idIndex: { name: "_id_", ns: "shop.js_modules", key: { _id: 1 } }, $db: "shop" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 } } } protocol:op_query 907ms
2019-04-02T11:33:14.082+0800 I COMMAND  [conn5] command shop.leftnavs command: create { create: "leftnavs", idIndex: { name: "_id_", ns: "shop.leftnavs", key: { _id: 1 } }, $db: "shop" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 907232 } } } protocol:op_query 1671ms
2019-04-02T11:33:14.082+0800 I STORAGE  [conn6] createCollection: shop.headers with generated UUID: 4d44b501-18be-4bbf-82f9-d9fbc3fb9d17
2019-04-02T11:33:14.867+0800 I COMMAND  [conn6] command shop.headers command: create { create: "headers", idIndex: { name: "_id_", ns: "shop.headers", key: { _id: 1 } }, $db: "shop" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 1672107 } } } protocol:op_query 2456ms
2019-04-02T11:33:14.867+0800 I STORAGE  [conn7] createCollection: shop.css_modules with generated UUID: 86ecfa19-7d1b-4bca-9c40-d57fe75cf9a1
2019-04-02T11:33:16.248+0800 I COMMAND  [conn7] command shop.css_modules command: create { create: "css_modules", idIndex: { name: "_id_", ns: "shop.css_modules", key: { _id: 1 } }, $db: "shop" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 2456645 } } } protocol:op_query 3837ms
2019-04-02T11:33:16.249+0800 I COMMAND  [conn5] command shop.leftnavs command: insert { insert: "leftnavs", writeConcern: { getLastError: 1, w: 1 }, ordered: false, $db: "shop" } ninserted:7 keysInserted:7 numYields:0 reslen:60 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 2163743 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 2164ms
2019-04-02T11:33:16.249+0800 I COMMAND  [conn4] command shop.js_modules command: insert { insert: "js_modules", writeConcern: { getLastError: 1, w: 1 }, ordered: false, $db: "shop" } ninserted:2 keysInserted:2 numYields:0 reslen:60 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 2928611 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 2929ms
2019-04-02T11:33:16.249+0800 I COMMAND  [conn6] command shop.headers command: insert { insert: "headers", writeConcern: { getLastError: 1, w: 1 }, ordered: false, $db: "shop" } ninserted:7 keysInserted:7 numYields:0 reslen:60 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 1378533 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 1379ms
2019-04-02T11:33:16.252+0800 I STORAGE  [conn4] createCollection: shop.node_modules with generated UUID: de2c29f1-5e3b-4aa4-8c7a-ba4ee28f00bd
2019-04-02T11:33:17.033+0800 I STORAGE  [conn6] createCollection: shop.mvvm_modules with generated UUID: 85384bc8-1d65-4786-b9e9-2b69d510da05
2019-04-02T11:33:17.033+0800 I COMMAND  [conn4] command shop.node_modules command: create { create: "node_modules", idIndex: { ns: "shop.node_modules", name: "_id_", key: { _id: 1 } }, $db: "shop" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 } } } protocol:op_query 781ms
2019-04-02T11:33:17.765+0800 I COMMAND  [conn6] command shop.mvvm_modules command: create { create: "mvvm_modules", idIndex: { name: "_id_", ns: "shop.mvvm_modules", key: { _id: 1 } }, $db: "shop" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 781385 } } } protocol:op_query 1512ms
2019-04-02T11:33:17.765+0800 I STORAGE  [conn7] createCollection: shop.users with generated UUID: 5ad3ea6d-8716-4d9a-80ec-2a5dd5b69523
2019-04-02T11:33:18.526+0800 I STORAGE  [conn5] createCollection: shop.records_modules with generated UUID: 5a0ef7c5-82b0-4dad-bca4-bcd2ae177868
2019-04-02T11:33:18.526+0800 I COMMAND  [conn7] command shop.users command: create { create: "users", idIndex: { name: "_id_", ns: "shop.users", key: { _id: 1 } }, $db: "shop" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 1512849 } } } protocol:op_query 2274ms
2019-04-02T11:33:19.346+0800 I COMMAND  [conn5] command shop.records_modules command: create { create: "records_modules", idIndex: { name: "_id_", ns: "shop.records_modules", key: { _id: 1 } }, $db: "shop" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 2274142 } } } protocol:op_query 3094ms
2019-04-02T11:33:19.347+0800 I COMMAND  [conn7] command shop.users command: insert { insert: "users", writeConcern: { getLastError: 1, w: 1 }, ordered: false, $db: "shop" } ninserted:1 keysInserted:1 numYields:0 reslen:60 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 818139 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 819ms
2019-04-02T11:33:19.348+0800 I COMMAND  [conn4] command shop.node_modules command: insert { insert: "node_modules", writeConcern: { getLastError: 1, w: 1 }, ordered: false, $db: "shop" } ninserted:2 keysInserted:2 numYields:0 reslen:60 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 2311510 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 2313ms
2019-04-02T11:33:19.348+0800 I COMMAND  [conn6] command shop.mvvm_modules command: insert { insert: "mvvm_modules", writeConcern: { getLastError: 1, w: 1 }, ordered: false, $db: "shop" } ninserted:1 keysInserted:1 numYields:0 reslen:60 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 1580194 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 1581ms
2019-04-02T11:33:19.349+0800 I STORAGE  [conn7] createCollection: shop.iscroll_modules with generated UUID: 8bcf72a8-5317-4969-abdb-4dc10abeadb7
2019-04-02T11:33:20.188+0800 I COMMAND  [conn7] command shop.iscroll_modules command: create { create: "iscroll_modules", idIndex: { name: "_id_", ns: "shop.iscroll_modules", key: { _id: 1 } }, $db: "shop" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 } } } protocol:op_query 839ms
2019-04-02T11:33:20.188+0800 I STORAGE  [conn4] createCollection: shop.canvas_modules with generated UUID: feebd8c2-2dcf-4003-9597-a1d06af70afb
2019-04-02T11:33:21.018+0800 I COMMAND  [conn4] command shop.canvas_modules command: create { create: "canvas_modules", idIndex: { ns: "shop.canvas_modules", name: "_id_", key: { _id: 1 } }, $db: "shop" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 839606 } } } protocol:op_query 1669ms
2019-04-02T11:33:21.018+0800 I STORAGE  [conn6] createCollection: shop.svg_modules with generated UUID: 87409394-1230-4ab0-8d97-a93b855537ed
